Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 32v,KB-E2_GB-C_066,#066,KB-E2 572-x,284,,,
fol. 33r,KB-E2_GB-C_067,#067,KB-E2 573-x,285,CClxxxvi,,
fol. 33v,KB-E2_GB-C_068,#068,KB-E2 574-x,285,,,
fol. 34r,KB-E2_GB-C_069,#069,KB-E2 575-x,286,CClxxxvii,,
fol. 34v,KB-E2_GB-C_070,#070,KB-E2 576-x,286,,,
fol. 35r,KB-E2_GB-C_071,#071,KB-E2 577-x,287,CClxxxviii,,
fol. 35v,KB-E2_GB-C_072,#072,KB-E2 578-x,287,,,
fol. 36r,KB-E2_GB-C_073,#073,KB-E2 579-x,288,CClxxxviiii,,
fol. 36v,KB-E2_GB-C_074,#074,KB-E2 580-x,288,,,
fol. 37r,KB-E2_GB-C_075,#075,KB-E2 581-x,289,CClxxxx,,
fol. 37v,KB-E2_GB-C_076,#076,KB-E2 582-x,289,,,
fol. 38r,KB-E2_GB-C_077,#077,KB-E2 583-x,290,CClxxxxi,,
fol. 38v,KB-E2_GB-C_078,#078,KB-E2 584-x,290,,,
fol. 39r,KB-E2_GB-C_079,#079,KB-E2 585-x,291,CClxxxxii,,
fol. 39v,KB-E2_GB-C_080,#080,KB-E2 586-x,291,,,bis hier KB-E2
,,,,,,,
fol. 40r,KB-E2_GB-C_081,#081,GB-C 081-x,292,CClxxxxiii,1420,"ab hier GB-C, die beiden Foliierungen sind weiterhin um 1 verschoben (bis fol. 109r)"
fol. 40v,KB-E2_GB-C_082,#082,GB-C 082-x,292,,1420,
fol. 41r,KB-E2_GB-C_083,#083,GB-C 083-x,293,CClxxxxiiii,,
fol. 41v,KB-E2_GB-C_084,#084,GB-C 084-x,293,,,
fol. 42r,KB-E2_GB-C_085,#085,GB-C 085-x,294,CClxxxxv,,
fol. 42v,KB-E2_GB-C_086,#086,GB-C 086-x,294,,,
fol. 43r,KB-E2_GB-C_087,#087,GB-C 087-x,295,CClxxxxvi,,
fol. 43v,KB-E2_GB-C_088,#088,GB-C 088-x,295,,,
fol. 44r,KB-E2_GB-C_089,#089,GB-C 089-x,296,CClxxxxvii,,
fol. 44v,KB-E2_GB-C_090,#090,GB-C 090-x,296,,,
fol. 45r,KB-E2_GB-C_091,#091,GB-C 091-x,297,CClxxxxviii,,
fol. 45v,KB-E2_GB-C_092,#092,GB-C 092-x,297,,,
fol. 46r,KB-E2_GB-C_093,#093,GB-C 093-x,298,CClxxxxviiii,,
fol. 46v,KB-E2_GB-C_094,#094,GB-C 094-x,298,,,
fol. 47r,KB-E2_GB-C_095,#095,GB-C 095-x,299,CCC,,
fol. 47v,KB-E2_GB-C_096,#096,GB-C 096-x,299,,,
fol. 48r,KB-E2_GB-C_097,#097,GB-C 097-x,300,CCCi,,
fol. 48v,KB-E2_GB-C_098,#098,GB-C 098-x,300,,,
fol. 49r,KB-E2_GB-C_099,#099,GB-C 099-x,301,CCCii,1421,
fol. 49v,KB-E2_GB-C_100,#100,GB-C 100-x,301,,,
fol. 50r,KB-E2_GB-C_101,#101,GB-C 101-x,302,CCCiii,,
fol. 50v,KB-E2_GB-C_102,#102,GB-C 102-x,302,,,
fol. 51r,KB-E2_GB-C_103,#103,GB-C 103-x,303,CCCiiii,,
fol. 51v,KB-E2_GB-C_104,#104,GB-C 104-x,303,,,
fol. 52r,KB-E2_GB-C_105,#105,GB-C 105-x,304,CCCv,,
fol. 52v,KB-E2_GB-C_106,#106,GB-C 106-x,304,,,
fol. 53r,KB-E2_GB-C_107,#107,GB-C 107-x,305,CCCvi,,
fol. 53v,KB-E2_GB-C_108,#108,GB-C 108-x,305,,,
fol. 54r,KB-E2_GB-C_109,#109,GB-C 109-x,306,CCCvii,,
fol. 54v,KB-E2_GB-C_110,#110,GB-C 110-x,306,,,
fol. 55r,KB-E2_GB-C_111,#111,GB-C 111-x,307,CCCviii,,
fol. 55v,KB-E2_GB-C_112,#112,GB-C 112-x,307,,,
fol. 56r,KB-E2_GB-C_113,#113,GB-C 113-x,308,CCCviiii,,
fol. 56v,KB-E2_GB-C_114,#114,GB-C 114-x,308,,,
fol. 57r,KB-E2_GB-C_115,#115,GB-C 115-x,309,CCCx,,
fol. 57v,KB-E2_GB-C_116,#116,(leer),309,,,
fol. 58r,KB-E2_GB-C_117,#117,(leer),310,CCCxi,,
fol. 58v,KB-E2_GB-C_118,#118,GB-C 118-x,310,,1422,
fol. 59r,KB-E2_GB-C_119,#119,GB-C 119-x,311,CCCxii,,
fol. 59v,KB-E2_GB-C_120,#120,GB-C 120-x,311,,,
fol. 60r,KB-E2_GB-C_121,#121,GB-C 121-x,312,CCCxiii,,
fol. 60v,KB-E2_GB-C_122,#122,GB-C 122-x,312,,,
fol. 61r,KB-E2_GB-C_123,#123,GB-C 123-x,313,CCCxiiii,,
fol. 61v,KB-E2_GB-C_124,#124,GB-C 124-x,313,,,
fol. 62r,KB-E2_GB-C_125,#125,GB-C 125-x,314,CCCxv,,
fol. 62v,KB-E2_GB-C_126,#126,GB-C 126-x,314,,,
fol. 63r,KB-E2_GB-C_127,#127,GB-C 127-x,315,CCCxvi,,
