"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 72v,GB-E_0143,#0143,GB-E 0143-x,,,
fol. 73r,GB-E_0144,#0144,GB-E 0144-x,71,71,
fol. 73v,GB-E_0145,#0145,GB-E 0145-x,,,
fol. 74r,GB-E_0146,#0146,GB-E 0146-x,72,72,
fol. 74v,GB-E_0147,#0147,GB-E 0147-x,,,
fol. 75r,GB-E_0148,#0148,GB-E 0148-x,73,73,
fol. 75v,GB-E_0149,#0149,GB-E 0149-x,,,
fol. 76r,GB-E_0150,#0150,GB-E 0150-x,74,74,
fol. 76v,GB-E_0151,#0151,GB-E 0151-x,,,
fol. 77r,GB-E_0152,#0152,GB-E 0152-x,75,75,
fol. 77v,GB-E_0153,#0153,GB-E 0153-x,,,
fol. 78r,GB-E_0154,#0154,GB-E 0154-x,76,76,
fol. 78v,GB-E_0155,#0155,GB-E 0155-x,,,
fol. 79r,GB-E_0156,#0156,GB-E 0156-x,78,,"die Schreiber haben sich verzählt, es fehlt kein Blatt"
fol. 79v,GB-E_0157,#0157,GB-E 0157-x,,,
fol. 80r,GB-E_0158,#0158,GB-E 0158-x,79,,
fol. 80v,GB-E_0159,#0159,GB-E 0159-x,,,
fol. 81r,GB-E_0160,#0160,GB-E 0160-x,80,,
fol. 81v,GB-E_0161,#0161,GB-E 0161-x,,,
fol. 82r,GB-E_0162,#0162,GB-E 0162-x,81,,
fol. 82v,GB-E_0163,#0163,GB-E 0163-x,,,
fol. 83r,GB-E_0164,#0164,GB-E 0164-x,82,,
fol. 83v,GB-E_0165,#0165,GB-E 0165-x,,,
fol. 84r,GB-E_0166,#0166,GB-E 0166-x,83,,
fol. 84v,GB-E_0167,#0167,GB-E 0167-x,,,
fol. 85r,GB-E_0168,#0168,GB-E 0168-x,84,,
fol. 85v,GB-E_0169,#0169,GB-E 0169-x,,,
fol. 86r,GB-E_0170,#0170,GB-E 0170-x,85,,
fol. 86v,GB-E_0171,#0171,GB-E 0171-x,,,
fol. 87r,GB-E_0172,#0172,GB-E 0172-x,86,,
fol. 87v,GB-E_0173,#0173,GB-E 0173-x,,,
fol. 88r,GB-E_0174,#0174,GB-E 0174-x,87,,
fol. 88v,GB-E_0175,#0175,GB-E 0175-x,,,
fol. 89r,GB-E_0176,#0176,GB-E 0176-x,88,,
fol. 89v,GB-E_0177,#0177,GB-E 0177-x,,,
fol. 90r,GB-E_0178,#0178,GB-E 0178-x,89,,
fol. 90v,GB-E_0179,#0179,GB-E 0179-x,,,
fol. 91r,GB-E_0180,#0180,GB-E 0180-x,90,,
fol. 91v,GB-E_0181,#0181,GB-E 0181-x,,,
fol. 92r,GB-E_0182,#0182,GB-E 0182-x,91,,
fol. 92v,GB-E_0183,#0183,GB-E 0183-x,,,
fol. 93r,GB-E_0184,#0184,GB-E 0184-x,92,,
fol. 93v,GB-E_0185,#0185,GB-E 0185-x,,,
fol. 94r,GB-E_0186,#0186,GB-E 0186-x,93,,
fol. 94v,GB-E_0187,#0187,GB-E 0187-x,,,
fol. 95r,GB-E_0188,#0188,GB-E 0188-x,94,,
fol. 95v,GB-E_0189,#0189,GB-E 0189-x,,,
fol. 96r,GB-E_0190,#0190,GB-E 0190-x,95,,
fol. 96v,GB-E_0191,#0191,GB-E 0191-x,,,
fol. 97r,GB-E_0192,#0192,GB-E 0192-x,96,,
fol. 97v,GB-E_0193,#0193,GB-E 0193-x,,,
fol. 98r,GB-E_0194,#0194,GB-E 0194-x,97,,
fol. 98v,GB-E_0195,#0195,GB-E 0195-x,,,
fol. 99r,GB-E_0196,#0196,GB-E 0196-x,98,,
fol. 99v,GB-E_0197,#0197,GB-E 0197-x,,,
fol. 100r,GB-E_0198,#0198,GB-E 0198-x,99,,
fol. 100v,GB-E_0199,#0199,GB-E 0199-x,,,
fol. 101r,GB-E_0200,#0200,GB-E 0200-x,100,,
fol. 101v,GB-E_0201,#0201,GB-E 0201-x,,,
fol. 102r,GB-E_0202,#0202,GB-E 0202-x,101,,
fol. 102v,GB-E_0203,#0203,GB-E 0203-x,,,
fol. 103r,GB-E_0204,#0204,GB-E 0204-x,102,,
fol. 103v,GB-E_0205,#0205,GB-E 0205-x,,,
fol. 104r,GB-E_0206,#0206,GB-E 0206-x,103,,
fol. 104v,GB-E_0207,#0207,GB-E 0207-x,,,
