Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 170r,KB-E_341,#341,KB-E 341-x,169,Clxx,
fol. 170v,KB-E_342,#342,KB-E 342-x,169,,
fol. 171r,KB-E_343,#343,KB-E 343-x,170,Clxxi,
fol. 171v,KB-E_344,#344,KB-E 344-x,170,,
fol. 172r,KB-E_345,#345,KB-E 345-x,171,Clxxii,
fol. 172v,KB-E_346,#346,KB-E 346-x,171,,
fol. 173r,KB-E_347,#347,KB-E 347-x,172,Clxxiii,
fol. 173v,KB-E_348,#348,KB-E 348-x,172,,
fol. 174r,KB-E_349,#349,KB-E 349-x,173,Clxxiiii,
fol. 174v,KB-E_350,#350,KB-E 350-x,173,,
fol. 175r,KB-E_351,#351,KB-E 351-x,174,Clxxv,
fol. 175v,KB-E_352,#352,KB-E 352-x,174,,
fol. 176r,KB-E_353,#353,KB-E 353-x,175,Clxxvi,
fol. 176v,KB-E_354,#354,KB-E 354-x,175,,
fol. 177r,KB-E_355,#355,KB-E 355-x,176,Clxxvii,
fol. 177v,KB-E_356,#356,KB-E 356-x,176,,
fol. 178r,KB-E_357,#357,KB-E 357-x,177,Clxxviii,
fol. 178v,KB-E_358,#358,KB-E 358-x,177,,
fol. 179r,KB-E_359,#359,KB-E 359-x,178,Clxxviiii,
fol. 179v,KB-E_360,#360,KB-E 360-x,178,,
fol. 180r,KB-E_361,#361,KB-E 361-x,179,Clxxx,
fol. 180v,KB-E_362,#362,KB-E 362-x,179,,
fol. 181r,KB-E_363,#363,KB-E 363-x,180,Clxxxi,
fol. 181v,KB-E_364,#364,KB-E 364-x,180,,
fol. 182r,KB-E_365,#365,KB-E 365-x,181,Clxxxii,
fol. 182v,KB-E_366,#366,KB-E 366-x,181,,
fol. 183r,KB-E_367,#367,KB-E 367-x,182,Clxxxiii,
fol. 183v,KB-E_368,#368,KB-E 368-x,182,,
fol. 184r,KB-E_369,#369,KB-E 369-x,183,Clxxxiiii,
fol. 184v,KB-E_370,#370,KB-E 370-x,183,,
fol. 185r,KB-E_371,#371,KB-E 371-x,184,Clxxxv,
fol. 185v,KB-E_372,#372,KB-E 372-x,184,,
fol. 186r,KB-E_373,#373,KB-E 373-x,185,Clxxxvi,
fol. 186v,KB-E_374,#374,KB-E 374-x,185,,
fol. 187r,KB-E_375,#375,KB-E 375-x,186,Clxxxvii,
fol. 187v,KB-E_376,#376,KB-E 376-x,186,,
fol. 188r,KB-E_377,#377,KB-E 377-x,187,Clxxxviii,
fol. 188v,KB-E_378,#378,KB-E 378-x,187,,
fol. 189r,KB-E_379,#379,KB-E 379-x,188,Clxxxviiii,
fol. 189v,KB-E_380,#380,KB-E 380-x,188,,
fol. 190r,KB-E_381,#381,KB-E 381-x,189,Clxxxx,
fol. 190v,KB-E_382,#382,KB-E 382-x,189,,
fol. 191r,KB-E_383,#383,KB-E 383-x,190,Clxxxxi,
fol. 191v,KB-E_384,#384,KB-E 384-x,190,,
fol. 192r,KB-E_385,#385,KB-E 385-x,191,Clxxxxii,
fol. 192v,KB-E_386,#386,KB-E 386-x,191,,
fol. 193r,KB-E_387,#387,KB-E 387-x,192,Clxxxxiii,
fol. 193v,KB-E_388,#388,KB-E 388-x,192,,
fol. 194r,KB-E_389,#389,KB-E 389-x,193,Clxxxxiiii,
fol. 194v,KB-E_390,#390,KB-E 390-x,193,,
fol. 195r,KB-E_391,#391,KB-E 391-x,194,Clxxxxv,
fol. 195v,KB-E_392,#392,KB-E 392-x,194,,
fol. 196r,KB-E_393,#393,KB-E 393-x,195,Clxxxxvi,
fol. 196v,KB-E_394,#394,(leer),195,,
fol. 197r,KB-E_395,#395,KB-E 395-x,196,Clxxxxvii,
fol. 197v,KB-E_396,#396,KB-E 396-x,196,,
fol. 198r,KB-E_397,#397,KB-E 397-x,197,Clxxxxviii,
fol. 198v,KB-E_398,#398,KB-E 398-x,197,,
fol. 199r,KB-E_399,#399,KB-E 399-x,198,Clxxxxviiii,
fol. 199v,KB-E_400,#400,KB-E 400-x,198,,
fol. 200r,KB-E_401,#401,KB-E 401-x,199,CC,
fol. 200v,KB-E_402,#402,KB-E 402-x,199,,
fol. 201r,KB-E_403,#403,KB-E 403-x,200,CCi,
fol. 201v,KB-E_404,#404,KB-E 404-x,200,,
fol. 202r,KB-E_405,#405,KB-E 405-x,201,CCii,
fol. 202v,KB-E_406,#406,KB-E 406-x,201,,
fol. 203r,KB-E_407,#407,KB-E 407-x,202,CCiii,
fol. 203v,KB-E_408,#408,KB-E 408-x,202,,
fol. 204r,KB-E_409,#409,KB-E 409-x,203,CCiiii,
fol. 204v,KB-E_410,#410,KB-E 410-x,203,,
fol. 205r,KB-E_411,#411,KB-E 411-x,204,CCv,
fol. 205v,KB-E_412,#412,KB-E 412-x,204,,
fol. 206r,KB-E_413,#413,KB-E 413-x,205,CCvi,
fol. 206v,KB-E_414,#414,KB-E 414-x,205,,
fol. 207r,KB-E_415,#415,KB-E 415-x,206,CCvii,
fol. 207v,KB-E_416,#416,KB-E 416-x,206,,
fol. 208r,KB-E_417,#417,KB-E 417-x,207,CCviii,
fol. 208v,KB-E_418,#418,KB-E 418-x,207,,
fol. 209r,KB-E_419,#419,KB-E 419-x,208,CCviiii,
fol. 209v,KB-E_420,#420,KB-E 420-x,208,,
fol. 210r,KB-E_421,#421,KB-E 421-x,209,CCx,
fol. 210v,KB-E_422,#422,KB-E 422-x,209,,
fol. 211r,KB-E_423,#423,KB-E 423-x,210,CCxi,
fol. 211v,KB-E_424,#424,KB-E 424-x,210,,
fol. 212r,KB-E_425,#425,KB-E 425-x,211,CCxii,
fol. 212v,KB-E_426,#426,KB-E 426-x,211,,
fol. 213r,KB-E_427,#427,KB-E 427-x,212,CCxiii,
fol. 213v,KB-E_428,#428,KB-E 428-x,212,,
fol. 214r,KB-E_429,#429,KB-E 429-x,213,CCxiiii,
fol. 214v,KB-E_430,#430,KB-E 430-x,213,,
