eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 1207-1,keine_id,Alter Kohlmarkt,1512,,,288,1 tl. 1 s. 18 d.,,,,
GB-E 1207-2,xxxx,,1512,,,288,1 tl. 1 s. 18 d.,,,,
GB-E 1208-1,keine_id,Alter Kohlmarkt,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1209-1,DB5101,hinter St. Pankraz,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1209-2,keine_id,Kernerstraße,1512,,,144,4 s. 24 d.,,,,
GB-E 1210-1,DB5207,Wiltwerkerstraße,1512,,,72,2 s. 12 d.,,,,
GB-E 1210-2,DB5207,Wiltwerkerstraße,1512,,,,,,261,196 UG,umb hundert und sechsundnewntzig hungerisch gulldein zut unnd gerecht an golld wag unnd slag  
GB-E 1211-1,keine_id,Heumarkt,1512,,,88,2 s. 28 d.,120,44,44 tl.,umb vierundviertzig phund phening guter lanndeswerung in Osterreich  
GB-E 1211-2,DB5128,hinter St. Pankraz,1512,,,148,4 s. 28 d.,61,38,38 tl.,umb Achtunddreissig phund phening guter lanndeswerung in Ostterreich  
GB-E 1213-1,keine_id,Schulstraße,1512,,,294,1 tl. 1 s. 24 d.,,,na,umb ain Summa gellts  
GB-E 1213-2,keine_id,Schulstraße,1512,,,468,1 tl. 7 s. 18 d.,,,na,unnd ain Summa gellts  
GB-E 1214-1,DB5149,hinter St. Pankraz,1512,,,144,4 s. 24 d.,,,,
GB-E 1215-1,keine_id,Alter Fleischmarkt / Laurenzerinnen,1512,,,216,7 s. 6 d.,,,,
GB-E 1216-1,keine_id,Riemergasse,1512,,,72,2 s. 12 d.,,,,
GB-E 1216-2,keine_id,Riemergasse,1512,,,520,2 tl. 1 s. 10 d.,120,260,260 tl.,umb zway hundert und Sechtzig phund phening guter lanndeswerung in Osterreich  
GB-E 1217-1,DB5413,Fischbrunnen / Hoher Markt,1512,,,144,4 s. 24 d.,,,,
GB-E 1218-1,keine_id,Salzgries,1512,,,266,1 tl. 26 d.,240,266,266 tl.,umb zway hundert Sechsundsechtzig phund phening guter lanndeswerung in Osterreich  
GB-E 1219-1,keine_id,Kernerstraße,1512,,,322,1 tl. 2 s. 22 d.,,,na,umb ain Summa gellts die Er eingenomen und emphangen hat  
GB-E 1219-2,keine_id,Kernerstraße,1512,,,280,1 tl. 1 s. 10 d.,120,140,140 tl.,umb hundert und viertzig phund phening guter lanndeswerung in Osterreich  
GB-E 1220-1,keine_id,Alter Kohlmarkt,1512,ja,,72,2 s. 12 d.,,,,
GB-E 1220-2,keine_id,Alter Kohlmarkt,1512,ja,,,,,300,300 tl.,umb drew hundert phund phening guter lanndeswerung in Osterreich  
GB-E 1221-1,keine_id,Salzgries,1512,,,,,,187,187 tl.,umb hundert Sibenundachtzig phund phening guter lanndeswerung in Osterreich  
GB-E 1221-2,keine_id,Ringmauer / St. Johannsstraße,1512,,,288,1 tl. 1 s. 18 d.,,,,
GB-E 1222-1,keine_id,Ringmauer / St. Johannsstraße,1512,,,140,4 s. 20 d.,120,70,70 tl.,umb Sibentzig phund phening guter lanndeswerung in Osterreich  
GB-E 1223-1,keine_id,Ringmauer / St. Johannsstraße,1512,,,152,5 s. 2 d.,,,na,umb ain Summa gellts  
GB-E 1223-2,keine_id,Graben / Mehlzeile,1512,,,390,1 tl. 5 s.,120,195,195 tl.,umb hundert und funfundnewntzig phund phening guter lanndeswerung in Osterreich  
GB-E 1224-1,keine_id,Neuer Markt,1512,,,230,7 s. 20 d.,120,115,115 tl.,umb hundert unnd funftzehen phund phening guter lanndeswerung in Osterreich  
GB-E 1224-2,keine_id,Kernerstraße,1512,,,216,7 s. 6 d.,,,,
GB-E 1225-1,keine_id,Kernerstraße,1512,,,170,5 s. 20 d.,120,85,85 tl.,umb funfundachtzig phund phening guter lanndeswerung in Osterreich  
GB-E 1225-2,keine_id,Stephansfreithof,1512,,,72,2 s. 12 d.,,,,
GB-E 1226-1,keine_id,innerhalb Stubentor,1512,,,72,2 s. 12 d.,,,,
GB-E 1226-2,keine_id,Rotgasse,1512,,,72,72 d.,,,,
GB-E 1227-1,keine_id,Brandstätte,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1227-2,keine_id,Brandstätte,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1228-1,DB5508b,Münzerstraße,1512,,,,0 d.,,,,
GB-E 1229-1,DB5508b,Münzerstraße,1512,,,,0 d.,,,na,umb ain Summa gellts  
GB-E 1229-2,keine_id,Greut / vor Stubentor,1512,,,288,1 tl. 1 s. 18 d.,,,,
GB-E 1230-1,keine_id,Greut / vor Stubentor,1512,,,124,4 s. 4 d.,,,na,umb ain Summa gellts  
GB-E 1231-1,keine_id,Greut / vor Stubentor,1512,,,105,3 s. 15 d.,,,na,umb ain Summa gellts  
GB-E 1231-2,keine_id,Greut / vor Stubentor,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1232-1,keine_id,Greut / vor Stubentor,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1232-2,keine_id,Fischhof,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1233-1,DB1044,Badstube zu den Röhren,1512,,,190,6 s. 10 d.,,,na,umb ain Summa gellts  
GB-E 1233-2,DB5111,St. Pankraz,1512,ja,,250,1 tl. 10 d.,120,125,125 tl.,umb hundertfunf undzwaintzig phund phening guter lanndeswerung in Osterreich  
GB-E 1234-1,keine_id,Kernerstraße,1512,,,72,2 s. 12 d.,,,,
GB-E 1234-2,keine_id,Kernerstraße,1512,,,270,1 tl. 1 s.,,,na,umb ain Summa gellts  
GB-E 1235-1,DB0091,Schaufellucke / St. Michael,1512,,,150,5 s.,120,75,75 tl.,umb funkundsibentzig phund phening guter lanndeswerung in Osterreich  
GB-E 1235-2,keine_id,Roter Turm,1512,,,1050,4 tl. 3 s.,120,525,525 tl.,umb funf hundert funfundzwaintzig phund phening guter lanndeswerung in Osterreich  
GB-E 1236-1,keine_id,Singerstraße,1512,,,,,,,na / na,umb ain Summa gellts  umb ain Summa gellts  
GB-E 1237-1,keine_id,Singerstraße,1512,,,,,,,na / na,umb ain Summa gellts  umb ain Summa gellts  
GB-E 1238-1,keine_id,Preidenstraße,1512,,,444,1 tl. 6 s. 24 d.,,,na,umb ain Summa gellts  
GB-E 1239-1,keine_id,Fischergasse,1512,,,,,,44,44 tl.,umb vierundviertzig phund phening guter lanndeswerung in Osterreich  
GB-E 1239-2,DB5315,Hofgasse,1512,,,412,1 tl. 5 s. 22 d.,78,134,134 tl.,umb hundert vierunddreissig phund phening guter lanndeswerung in Osterreich  
GB-E 1240-1,DB0056,#Alserstraße / vor Schottentor,1512,,,104,3 s. 14 d.,36,16,16 tl.,umb Sechtzehen phund phening guter lanndeswerung in Osterreich  
GB-E 1241-1,DB5206a,Fischmarkt / Hoher Markt / Wiltwerkerstraße,1512,,,143,4 s. 23 d.,,,,
GB-E 1242-1,keine_id,vordere Peckenstraße,1512,,,,,,,na,umb ain Summa gellts  
GB-E 1242-2,DB0038,#Alserstraße / vor Schottentor,1512,ja,,,0 d.,,,na,umb ain Summa gellts  
GB-E 1243-1,DB0091,Schaufellucke / St. Michael,1512,,,120,4 s.,120,60,60 tl.,umb Sechtzig phund phening guter lanndeswerung in Osterreich  
GB-E 1244-1,DB1082,Schiltergasse,1513,,,502,2 tl. 22 d.,,,,
GB-E 1244-2,DB5032,Schiltergasse,1513,,,430,1 tl. 6 s. 10 d.,,,,
GB-E 1245-1,DB0076,Bognergasse,1513,,,424,1 tl. 6 s. 4 d.,99,176,176 tl.,umb hundert Sechsundsibentzig phund phening guter lanndeswerung in Osterreich  
GB-E 1246-1,keine_id,Wollzeile,1513,,,,,,,na,umb ain Summa gelltess  
GB-E 1247-1,keine_id,Jakobsfreithof,1513,,,400,1 tl. 5 s. 10 d.,120,200,200 tl.,umb zway hundert phund phening guter lanndeswerung in Osterreich  
GB-E 1247-2,keine_id,Kernerstraße,1513,,,72,2 s. 12 d.,,,,
GB-E 1248-1,keine_id,vordere Peckenstraße,1513,,,640,2 tl. 5 s. 10 d.,120,320,320 tl.,umb Drewhundert und zwaintzig phund phening guter lanndeswerung in Osterreich  
GB-E 1248-2,DB0074a,Bognergasse,1513,,,144,4 s. 24 d.,,,,
GB-E 1249-1,DB0074b,Bognergasse,1513,,,216,7 s. 6 d.,,,,
GB-E 1250-1,DB0074a,Bognergasse,1513,,,100,3 s. 10 d.,,,na,umb ain Summa gellts  
GB-E 1250-2,keine_id,Kienmarkt,1513,,,72,2 s. 12 d.,,,,
GB-E 1251-1,keine_id,Biberturm / Roter Turm,1513,,,676,2 tl. 6 s. 16 d.,31,90.0,na / na / 90 tl.,umb ain Summa gellts  umb ain Summa gellts  umb Neuntzig phund phening guter lanndeswerung in Osterreich  
GB-E 1251-2,keine_id,Kienmarkt,1513,,,1200,5 tl.,,,na,umb ain Summa gellts  
GB-E 1252-1,keine_id,unter den Gürtlern,1513,,,240,1 tl.,,,na,umb ain Summa gellts  
GB-E 1253-1,keine_id,Lichtensteg,1513,,,402,1 tl. 5 s. 12 d.,50,85.0,na / 85 tl.,umb ain Summa gellts  umb funfund achtzig phund phening guter lanndesweerung in Osterreich  
GB-E 1254-1,keine_id,Roter Turm,1513,,,700,2 tl. 7 s. 10 d.,120,350,350 tl.,umb vierthalb hundert phund phening guter lanndesweerung in Osterreich  
GB-E 1254-2,DB5152,St. Pankraz,1513,,,140,4 s. 20 d.,120,70,70 tl.,umb Sibentzig phund phening guter lanndesweerung in Osterreich  
GB-E 1254-3,keine_id,vor Kernertor,1513,,,72,2 s. 12 d.,,,,
GB-E 1255-1,keine_id,Kumpflucke / vor Kernertor,1513,,,102,3 s. 12 d.,120,51,51 tl.,umb Ainsundfunftzig phund phening guter lanndeswerung in Osterreich  
GB-E 1255-2,keine_id,Mietstatt / vor Kernertor,1513,,,144,4 s. 24 d.,,,,
GB-E 1256-1,keine_id,Kienmarkt,1513,,,,,,,na,umb ain Summa gellts  
