eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-D 1162-2,keine_id,Stadtgraben / vor Kernertor,1443,,,,0 d.,,,,
GB-D 1162-3,DB6000,Scheffstraße,1443,,,150,5 s.,120,75,75 tl.,umb lxxv tl. d.  
GB-D 1163-1,keine_id,Kienmarkt,1443,ja,,144,0.5 tl. 24 d.,,,,
GB-D 1163-2,keine_id,Burg,1443,,,,,,300,300 tl.,umb ccc tl. d.  
GB-D 1163-3,keine_id,Neuer Markt,1443,,,72,72 d.,,,,
GB-D 1164-1,keine_id,unter den Lederern / vor Werdertor,1443,ja,,58,58 d.,120,29,29 tl.,umb Newnundzwainczig pfunt pfenning  
GB-D 1164-2,keine_id,Alter Fleischmarkt,1443,,kauf ,180,6 s.,120,90,90 tl.,umb Newnczig pfund pfenning  
GB-D 1164-3,keine_id,Wollzeile,1443,,,72,72 d.,,,,
GB-D 1165-1,keine_id,vor Stubentor,1444,,,80,80 d.,120,40,40 tl.,umb xl tl. d.  
GB-D 1165-2,keine_id,Alter Fleischmarkt,1444,,kauf ,606,2.5 tl. 6 d.,120,303,303 tl.,umb ccc und iii tl. d.  
GB-D 1165-3,DB5211,Otto und Haimo / Wiltwerkerstraße,1445,,,72,72 d.,,,,
GB-D 1166-1,keine_id,Kienmarkt / Kürsenhaus,1445,,,150,5 s.,,,,
GB-D 1166-2,DB0056,Alserstraße / vor Schottentor,1444,ja,,72,72 d.,,,,
GB-D 1166-3,DB0056,Alserstraße / vor Schottentor,1445,ja,,80,80 d.,120,40,40 tl.,umb xl tl. d.  
GB-D 1166-4,keine_id,Fischerstiege / Salzgries,1445,,kauf ,248,1 tl. 8 d.,120,124,124 tl.,umb hundert und virundzwainczig pfund pfenning  
GB-D 1167-1,keine_id,Kürsenhaus / Würffel,1446,,,540,18 s.,120,270,270 tl.,umb zwayhundert und sibenczig pfund phenning  
GB-D 1168-1,keine_id,#Alserstraße / unter den Lederern / vor Schottentor,1446,ja,,,0 d.,,,,
GB-D 1168-2,keine_id,Fischhof,1446,ja,,,0 d.,,,,
GB-D 1168-3,keine_id,Alter Fleischmarkt,1447,ja,,1800,7.5 tl.,120,900,900 tl.,umb Newnhundert pfund phenning  
GB-D 1169-1,DB5545,unter den Sattlern,1447,,,,0 d.,,,,
GB-D 1169-2,keine_id,unter den Spenglern,1447,,,2520,10.5 tl.,60,630.0,1000 tl. / 260 tl.,umb Tausent pfund phenning  umb zwaihundert und sechczig pfund phenning  
GB-D 1169-3,DB5118,hinter St. Pankraz,1447,,,84,84 d.,120,42,42 tl.,umb zwayundvirczig pfund phenning  
GB-D 1170-1,keine_id,Burg,1447,,,,0 d.,,,,
GB-D 1170-2,keine_id,Kumpflucke / vor Kernertor,1447,,,98,3 s. 8 d.,120,49,49 tl.,umb Newnundvirczig pfund phenning  
GB-D 1170-3,keine_id,Neuer Markt,1448,,,480,2 tl.,120,240,240 tl.,umb zwayhundert und virczig phund phenning  
GB-D 1170-4,DB5521,Am Gestade,1448,ja,,144,0.5 tl. 24 d.,120,72,72 tl.,umb zwayundsibenczig phund phenning  
GB-D 1171-1,DB5522,Am Gestade,1449,,kauf ,220,7 s. 10 d.,120,110,110 tl.,umb hundert und zehen phunt phenning  
GB-D 1171-2,keine_id,Graben,1449,ja,,72,72 d.,,,,
GB-D 1171-3,keine_id,bei den Predigern,1449,,kauf ,210,7 s.,120,105,105 tl.,umb hundert und funf phunt phenning  
GB-D 1171-4,DB0003,Neulucke / vor Widmertor,1450,,kauf ,100,3 s. 10 d.,120,50,50 tl.,umb funfczig phunt phenning  
GB-D 1171-5,keine_id,vordere Peckenstraße,1450,,,616,2.5 tl. 16 d.,120,308,308 tl.,umb ccc und viii tl. d.  
GB-D 1172-1,keine_id,bei den Predigern / Hochschule,1451,,,510,17 s.,122,260,260 tl.,umb zwaihundert und sechczig phund phenning  
GB-D 1172-2,keine_id,Hochstraße / Schenkenstraße,1449,,,144,0.5 tl. 24 d.,,,,
GB-D 1172-3,keine_id,Scheffstraße / Stadtgraben,1452,,kauf ,18,18 d.,120,9,9 tl.,umb newn phunt phenning  
GB-D 1172-4,keine_id,Kienmarkt,1452,ja,kauf ,160,5 s. 10 d.,126,84,84 tl.,umb lxxxiiii tl. d.  
GB-D 1173-1,keine_id,innerhalb Werdertor,1453,,kauf ,120,0.5 tl.,120,60,60 tl.,umb lx tl. d.  
GB-D 1173-2,keine_id,Wollzeile,1453,,,1946,64 s. 26 d.,11,91,91 tl.,umb lxxxxi tl. d.  
GB-D 1173-3,DB1211,Wiltwerkerstraße,1453,,,,0 d.,,,,
GB-D 1173-4,keine_id,Pippingerstraße,1453,,,,0 d.,,,,
GB-D 1173-5,keine_id,Petersfreithof,1453,,,,0 d.,,,,
GB-D 1174-1,keine_id,Laimgrube,1453,ja,,34,34 d.,120,17,17 tl.,umb sibenczehen pfund phenning  
GB-D 1174-2,keine_id,Pippingerstraße,1453,,,,,,,,
GB-D 1174-3,keine_id,Wollzeile,1454,,kauf ,300,10 s.,,,,
GB-D 1174-4,keine_id,innerhalb Stubentor / Wollzeile,1454,,,900,3 tl. 6 s.,120,450,450 tl.,umb funfthalbhundert pfund pfenning  
GB-D 1174-5,keine_id,Biberturm / Laurenzerinnen,1454,,kauf ,260,1 tl. 20 d.,120,130,130 tl.,umb hundert und dreissig phunt phenning  
GB-D 1174-6,DB0111,Haarhof / hinter St. Pankraz,1454,ja,,76,76 d.,120,38,38 tl.,umb achtund dreissig pfund pfenning  
GB-D 1175-1,keine_id,vor Werdertor,1454,,,120,4 s.,120,60,60 tl.,umb sechczig pfund pfenning  
GB-D 1175-2,keine_id,Kumpflucke / vor Kernertor,1454,,,72,72 d.,,,,
GB-D 1175-3,keine_id,Neuer Markt,1454,,,600,2.5 tl.,120,300,300 tl.,umb drewhundert pfund pfenning  
GB-D 1175-4,keine_id,vor Kernertor,1455,,,72,72 d.,,,,
GB-D 1175-5,keine_id,vor Kernertor,1455,,,68,68 d.,120,34,34 tl.,umb virunddreissig pfund pfenning  
GB-D 1176-1,keine_id,St. Johannsstraße,1455,,,,,,300,300 tl.,umb drewhundert pfund pfenning  
GB-D 1176-2,DB9001,Alter Rossmarkt,1456,,,1600,6 tl. 5 s. 10 d.,120,800,800 tl.,umb Achthundert pfund pfenning  
GB-D 1176-3,DB5211,Otto und Haimo / Wiltwerkerstraße / Würffel,1456,,,144,0.5 tl. 24 d.,,,,
GB-D 1177-1,DB7001,Würffel,1456,,,144,0.5 tl. 24 d.,,,,
GB-D 1177-2,keine_id,Kürsenhaus,1456,,,144,0.5 tl. 24 d.,,,,
GB-D 1177-3,DB5128,hinter St. Pankraz,1456,,,280,9 s. 10 d.,120,140,140 tl.,umb C und xl tl. d.  
GB-D 1177-4,keine_id,unter den langen Tuchlauben,1456,,,72,72 d.,,,,
GB-D 1178-1,DB5564,Hühnergässchen,1456,,,300,10 s.,120,150,150 tl.,umb Anderthalbhundert pfunt pfenning  
GB-D 1178-2,DB5211b,Wiltwerkerstraße,1456,,,72,72 d.,,,,
GB-D 1179-1,DB5303b,Judenplatz,1456,,,144,0.5 tl. 24 d.,,,,
GB-D 1179-2,keine_id,vor Kernertor,1456,,,72,72 d.,,,,
GB-D 1179-3,DB0110,Haarhof,1456,ja,,36,36 d.,120,18,18 tl.,umb Achczehen pfund pfenning  
GB-D 1179-4,keine_id,vor Werdertor,1456,,,48,48 d.,120,24,24 tl.,umb virndczwainczig pfunt pfenning  
GB-D 1179-5,keine_id,unter den Fischern / vor Werdertor,1457,,,160,5 s. 10 d.,120,80,80 tl.,umb Achczig pfunt pfenning  
