eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 0878-1,DB5210,Wiltwerkerstraße,1504,,,144,4 s. 24 d.,,,,
GB-E 0879-1,DB5210,Wiltwerkerstraße,1504,,,1208,5 tl. 8 d.,120,604,604 tl.,umb Sechs hundert und vir phunt phening  
GB-E 0879-2,keine_id,Münzerstraße,1504,,,1200,5 tl.,120,600,600 tl.,umb Sechs hundert pfunt phenning  
GB-E 0880-1,keine_id,Lichtensteg,1504,,,72,72 d.,,,,
GB-E 0881-1,keine_id,Walichstraße,1504,,,70,70 d.,240,70,70 tl.,umb Sibenczig phunt phening  
GB-E 0882-1,DB1025,Schulhof,1504,,,72,72 d.,,,,
GB-E 0883-1,keine_id,Stadtgraben,1504,,,64,64 d.,120,32,32 tl.,umb zwayunddreissig phunt phening  
GB-E 0884-1,keine_id,Wollzeile,1504,,,,,,400,400 tl.,umb virhundert phunt phening  
GB-E 0885-1,keine_id,Stadtgraben,1504,,,72,72 d.,73,22,22 tl.,umb zwayundzwainczig phunt phening  
GB-E 0885-2,DB5345b,Gässlein neben dem Goldenen Engel,1504,,,,,,300,300 tl.,umb drew hundert phunt phening lanndeswerung  
GB-E 0886-1,keine_id,Laimgrube,1504,,,72,72 d.,,,,
GB-E 0887-1,keine_id,Neuer Markt,1504,,,200,6 s. 20 d.,120,100,100 tl.,umb hundert phunt phening guter lanndeswerung in Osterreich  
GB-E 0888-1,DB5220,Wiltwerkerstraße,1504,,,,,,500,500 tl.,umb funfhundert phunt phening lanndeswerung in Osterreich  
GB-E 0888-2,keine_id,auf dem Steig,1504,,,380,12 s. 20 d.,,,,
GB-E 0889-1,keine_id,Stephansfreithof,1504,,,400,13 s. 10 d.,120,200,200 tl.,umb zway hundert phunt phening  
GB-E 0889-2,keine_id,Kienmarkt,1504,,,72,72 d.,,,,
GB-E 0890-1,keine_id,Stadtgraben,1504,,,,,,24,24 tl.,umb virundczwainczig phunt phening  
GB-E 0890-2,DB0073,Bognergasse,1504,,,960,4 tl.,75,300,300 tl.,umb drewhundert phunt phening  
GB-E 0891-1,keine_id,Weihenburg,1504,,,72,72 d.,,,,
GB-E 0892-1,keine_id,Weihenburg,1504,,,,,,,na,umb Ain Summa gelts  
GB-E 0892-2,keine_id,vordere Peckenstraße,1504,,,72,72 d.,,,,
GB-E 0893-1,keine_id,Singerstraße,1504,,,144,4 s. 24 d.,,,,
GB-E 0893-2,keine_id,Münzerstraße,1504,,,,0 d.,,,,
GB-E 0894-1,keine_id,vor Werdertor,1504,,,72,72 d.,,,,
GB-E 0894-2,DB0081,Bognergasse,1504,,,73,73 d.,,,,
GB-E 0895-1,keine_id,Münzerstraße,1504,,,216,7 s. 6 d.,,,,
GB-E 0896-1,keine_id,Mietstatt,1504,,,200,6 s. 20 d.,120,100,100 tl.,umb hundert phunt phening lanndeswerung in Osterreich  
GB-E 0897-1,keine_id,Alter Kohlmarkt,1504,,,72,72 d.,,,,
GB-E 0897-2,keine_id,auf dem Steig,1504,,,72,72 d.,,,,
GB-E 0898-1,DB5489a,unter den Sattlern,1504,,,144,4 s. 24 d.,,,na,umb ain Summa gelts  
GB-E 0899-1,DB1008,Herzoghof,1504,,,308,1 tl. 68 d.,,,,
GB-E 0899-2,keine_id,vor Widmertor,1504,,,160,5 s. 10 d.,,,na,umb ain Summa gelts  
GB-E 0900-1,DB5536a,unter den Sattlern,1504,,,,0 d.,,,,
GB-E 0901-1,DB1064,Wiltwerkerstraße,1504,,,72,72 d.,,,,
GB-E 0901-2,keine_id,vor Werdertor,1504,,,92,3 s. 2 d.,26,10,10 tl.,umb zehen phunt phening  
GB-E 0902-1,keine_id,innerhalb Werdertor,1504,,,312,10 s. 12 d.,120,156,156 tl.,umb ain hundert Sechsundfunfczig phunt phening  
GB-E 0902-2,keine_id,Lichtensteg,1504,,,280,9 s. 10 d.,120,140,140 tl.,umb hundert und virczig phunt phenning  
GB-E 0903-1,keine_id,Landskron,1504,,,,,,,na,umb ain Summa gelts  
GB-E 0904-1,keine_id,Wollzeile,1504,,,72,72 d.,,,,
GB-E 0904-2,keine_id,Wollzeile,1504,,,1282,5 tl. 82 d.,,,na,umb ain Summa gelts  
GB-E 0905-1,keine_id,Riemergasse,1504,,,72,72 d.,,,,
GB-E 0906-1,DB0120,in dem Kiel,1504,,,600,2 tl. 4 s.,120,300,300 tl.,umb drewhundert phunt phening  
GB-E 0907-1,keine_id,Alter Fleischmarkt,1504,,,,,,380,380 tl.,umb drew hundert und Achczigkh phunt  
