eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
KB-E 295-5,keine_id,Alter Kohlmarkt,1423,,verkauf ,248,1 tl. 8 d.,120,125,125 tl.,umb hundert und xxv tl. d.  
KB-E 295-6,DB1049,Judengasse,1424,,verkauf ,320,10 s. 20 d.,120,160,160 tl.,umb hundert und lx tl. d.  
KB-E 296-1,keine_id,Wieden,1424,,,720,3 tl.,283,850,850 tl.,umb newnthalb hundert pfund  
KB-E 296-2,keine_id,Petersfreithof,1424,,verkauf ,80,80 d.,120,40,40 tl.,umb xl tl. d.  
KB-E 296-3,keine_id,Traibotenstraße,1425,ja,verkauf ,82,82 d.,120,41,41 tl.,umb xli tl. d.  
KB-E 296-4,keine_id,vordere Peckenstraße,1425,,überschreibung ,50,50 d.,,,,
KB-E 297-1,keine_id,Mietstatt / vor Kernertor,1425,,verkauf ,90,3 s.,120,45,45 tl.,umb xlv tl. d.  
KB-E 297-2,keine_id,auf dem Anger,1425,ja,verkauf ,90,3 s.,120,45,45 tl. 6 s.,umb xlv tl. und vi s. d.  
KB-E 297-3,keine_id,Alter Kohlmarkt / St. Michael,1427,,,200,6 s. 20 d.,,,,
KB-E 297-4,keine_id,Alter Kohlmarkt,1427,,überschreibung ,200,6 s. 20 d.,,,,
KB-E 298-1,keine_id,St. Johannsstraße,1427,,,4,4 d.,15000,250,250 tl. 30 d.,umb ii½ᶜ tl. und xxx d.  
KB-E 298-2,keine_id,innerhalb Stubentor,1428,,verkauf ,230,7 s. 20 d.,120,115,115 tl.,umb hundert und xv tl. d.  
KB-E 298-3,keine_id,Pippingerstraße,1429,ja,verkauf ,20,20 d.,120,10,10 tl.,umb x tl. d.  
KB-E 298-4,keine_id,Kernerstraße,1429,,verkauf ,440,14 s. 20 d.,120,220,220 tl.,umb iiᶜ und xx tl. d.  
KB-E 298-5,keine_id,vor Werdertor,1429,,verkauf ,160,5 s. 10 d.,120,80,80 tl.,umb lxxx tl. Wienner phenning  
KB-E 299-1,DB5444,Hoher Markt,1429,,verkauf ,250,1 tl. 10 d.,120,125,125 tl.,umb hundert und xxv tl. d.  
KB-E 299-2,keine_id,Hochstraße,1430,,verkauf ,180,6 s.,120,90,90 tl.,umb lxxxx tl. d.  
KB-E 300-1,keine_id,Kernerstraße,1430,,verkauf ,900,3 tl. 6 s.,120,450,450 tl.,umb iiiiᶜ und funfczig phunt  
KB-E 301-1,DB5535b,unter den Sattlern,1431,,verkauf ,700,2 tl. 7 s. 10 d.,120,350,350 tl.,umb iii½ᶜ tl. Wienner d.  
KB-E 301-2,keine_id,St. Jakob,1431,,verkauf ,250,1 tl. 10 d.,240,250,250 tl.,umb ii½ᶜ tl. Wienner phenning  
KB-E 301-3,DB7003,unter den Flößern / vor Werdertor,1431,,verkauf ,32,32 d.,120,16,16 tl.,umb xvi tl. d.  
KB-E 302-1,keine_id,Alter Fleischmarkt,1432,,schenkung ,180,6 s.,,,,
KB-E 303-1,keine_id,Heumarkt,1432,,verkauf ,68,68 d.,120,34,34 tl.,umb xxxiiii tl. Wienner d.  
KB-E 303-2,keine_id,Kienmarkt,1433,ja,verkauf ,88,88 d.,117,43,43 tl.,umb xliii tl. Wienner d.  
KB-E 303-3,keine_id,Stubentor,1433,,verkauf ,600,2.5 tl.,120,300,300 tl.,umb iiiᶜ tl. d.  
KB-E 303-4,keine_id,Burg,1433,,verkauf ,292,9 s. 22 d.,120,146,146 tl.,umb iᶜ xlvi tl. d.  
KB-E 304-1,keine_id,Burg,1433,,verkauf ,,,,146,146 tl.,umb hundert und Sechsundvierczigk tl. d.  
KB-E 304-2,keine_id,Neunburgerstraße / vor Schottentor,1433,,verkauf ,80,80 d.,120,40,40 tl.,umb xl tl. Wienner d.  
KB-E 304-3,keine_id,Pippingerstraße,1433,,verkauf ,,,,250,250 tl.,umb ii½ᶜ tl. d.  
KB-E 305-1,keine_id,Alter Kohlmarkt,1434,,verkauf ,330,11 s.,120,165,165 tl.,umb Clxv tl. d.  
KB-E 305-2,keine_id,Wollzeile,1434,,verkauf ,1080,4.5 tl.,122,550,550 tl.,umb v½ᶜ tl. Wienner phenning  
KB-E 305-3,keine_id,Bretzeneck / Lichtensteg,1434,,verkauf ,300,10 s.,128,160,160 tl.,umb Clx tl. d.  
KB-E 306-1,keine_id,Schottenau,1434,,verkauf ,100,3 s. 10 d.,120,50,50 tl.,umb l tl. d.  
KB-E 306-2,keine_id,Burg,1434,,verkauf ,200,6 s. 20 d.,252,210,210 tl.,umb iiᶜ und x tl. Wienner d.  
KB-E 306-3,keine_id,vordere Peckenstraße,1424,,verkauf ,200,6 s. 20 d.,122,102,102 tl.,umb C und ii tl. d.  
KB-E 307-1,keine_id,Wollzeile,1434,,verkauf ,1458,6 tl. 18 d.,120,729,729 tl.,umb viiᶜ xxviiii tl. d.  
KB-E 309-1,keine_id,Schulstraße,1435,,verkauf ,160,5 s. 10 d.,120,80,80 tl.,umb lxxx tl. d.  
KB-E 309-2,keine_id,Stadtgraben / vor Stubentor,1435,,verkauf ,28,28 d.,120,14,14 tl.,umb xiiii tl. d.  
KB-E 309-3,keine_id,vordere Peckenstraße,1440,,verkauf ,800,3 tl. 80 d.,120,400,400 tl.,umb cccc tl. d.  
KB-E 310-1,keine_id,Salzgries,1435,ja,verkauf ,256,1 tl. 16 d.,120,128,128 tl.,umb C xxviii tl. d.  
KB-E 310-2,keine_id,Greut / vor Stubentor,1435,,verkauf ,56,56 d.,120,28,28 tl.,umb xxviii tl. d.  
KB-E 310-3,DB1037,Weiße Brüder,1436,ja,verkauf ,90,3 s.,144,54,54 tl.,umb liiii tl. d.  
KB-E 311-1,keine_id,Himmelpforten,1436,,verkauf ,144,0.5 tl. 24 d.,120,72,72 tl.,umb lxxii tl. d.  
KB-E 311-2,keine_id,Grashof / Heiligenkreuzerhof,1436,ja,verkauf ,214,7 s. 4 d.,103,92,92 tl.,umb lxxxxii tl. Wienner d.  
KB-E 311-3,keine_id,Wollzeile,1437,,verkauf ,266,8 s. 26 d.,133,148,148 tl.,umb C xlviii tl. Wienner d.  
KB-E 312-1,keine_id,Haarmarkt,1437,,verkauf ,620,2.5 tl. 20 d.,259,670,670 tl.,umb Sechshundert und Sibenczig phunt Wienner phenning  
KB-E 312-2,keine_id,Greut,1437,,verkauf ,120,0.5 tl.,120,60,60 tl.,umb lx tl. d.  
KB-E 312-3,DB6000,Scheffstraße / Stadtgraben,1437,,verkauf ,150,5 s.,120,75,75 tl.,umb lxxv tl. d.  
KB-E 313-1,DB4000,St. Johannsstraße,1437,,,,,,,,
KB-E 313-2,DB0033,Alserstraße / vor Schottentor,1437,,verkauf ,11,11 d.,109,5,5 tl. 5 s.,umb v tl. v s. Wienner d.  
KB-E 313-3,keine_id,Alter Kohlmarkt / #St. Michael,1436,,verkauf ,280,9 s. 10 d.,120,140,140 tl.,umb C und xl tl. d.  
KB-E 314-1,keine_id,unter den Spenglern,1437,,verkauf ,310,10 s. 10 d.,120,155,155 tl.,umb C lv tl. d.  
KB-E 331-1,keine_id,Kernerstraße,1420,,überschreibung ,64,64 d.,,,,
KB-E 331-2,keine_id,Alter Fleischmarkt / Laurenzerinnen,1420,ja,verkauf ,106,3 s. 16 d.,120,53,53 tl.,umb drew und funfczig phunt Wienner phenning  
KB-E 332-1,keine_id,Scheffstraße / vor Stubentor,1420,ja,,50,50 d.,124,26,25 tl. + 1 G,umb funf und zwainczig phunt Wienner phenning  und umb aine guldein  
KB-E 332-2,keine_id,Salzgries,1420,,verkauf ,550,18 s. 10 d.,120,275,275 tl.,umb zway hundert und umb funf und Sybenczig phunt Wienner phenning  
KB-E 333-1,keine_id,Krotental / vor Stubentor,1421,,verkauf ,90,3 s.,120,45,45 tl.,umb funf und virczig phunt Wienner phenning  
KB-E 333-2,keine_id,Strauchgasse,1421,ja,verkauf ,10,10 d.,120,5,5 tl.,umb funf phunt Wienner phenning  
KB-E 333-3,keine_id,unter den langen Tuchlauben,1421,,überschreibung ,,,,,,
KB-E 334-1,keine_id,Greut / vor Stubentor,1421,,verkauf ,34,34 d.,120,17,17 tl.,umb Sibenczehen phunt Wienner phenning  
KB-E 334-2,keine_id,vor Stubentor,1421,ja,überschreibung ,200,6 s. 20 d.,,,,
KB-E 335-1,keine_id,Heumarkt / vor Kernertor,1422,,verkauf ,42,42 d.,120,21,21 tl.,umb Ains und zwainczig phunt Wienner phenning  
KB-E 335-2,DB5030,Schiltergasse,1422,ja,verkauf ,152,5 s. 2 d.,120,76,76 tl.,umb sechs und Sibenczig phunt Wienner phenning 
KB-E 335-3,DB5533,unter den Sattlern,1422,,verkauf ,190,6 s. 10 d.,120,95,95 tl.,umb funf und Newnczig phunt Wienner phenning  
KB-E 336-1,DB0003,Neulucke / vor Widmertor,1422,,verkauf ,60,60 d.,160,40,40 tl.,umb virczig phunt Wienner phenning 
KB-E 336-2,keine_id,St. Stephan / unter den Goldschmieden,1423,ja,überschreibung ,540,18 s.,,,,
KB-E 337-1,keine_id,Preidenstraße,1423,,verkauf ,220,7 s. 10 d.,120,110,110 tl.,umb hundert und zehen pfunt Wienner pfenning  
KB-E 337-2,keine_id,Walichstraße,1423,ja,verkauf ,34,34 d.,120,17,17 tl.,umb xvii tl. Wienner pfenning  
KB-E 337-3,keine_id,Kernerstraße / St. Clara,1424,,verkauf ,170,5 s. 20 d.,120,85,85 tl.,umb lxxxv tl. d.  
KB-E 337-4,keine_id,Burg,1424,ja,verkauf ,200,6 s. 20 d.,120,100,100 tl.,umb hundert phund phenning  
KB-E 337-5,DB1007,Herzoghof / Lederhof,1424,,verkauf ,88,88 d.,120,44,44 tl.,umb xliiii tl. d.  
KB-E 338-1,keine_id,Judenfreithof / vor Kernertor,1424,,verkauf ,62,62 d.,120,31,31 tl.,umb xxxi tl. d.  
KB-E 338-2,keine_id,hintere Peckenstraße,1424,,verkauf ,550,18 s. 10 d.,120,275,275 tl.,umb iiᶜ lxxv tl. d.  
KB-E 338-3,keine_id,Wollzeile,1425,,verkauf ,1690,7 tl. 10 d.,120,850,850 tl.,umb viii½ᶜ tl. d.  
KB-E 338-4,DB0092,Schaufellucke,1425,,verkauf ,,,,58,58 tl.,umb lviii tl. d.  
KB-E 339-1,keine_id,Alter Fleischmarkt,1425,,schenkung ,80,80 d.,,,,
KB-E 339-2,keine_id,Traibotenstraße,1426,,überschreibung ,80,80 d.,,,,
KB-E 339-3,DB0048,Alserstraße,1426,,verkauf ,38,38 d.,120,19,19 tl.,umb xviiii tl. d.  
KB-E 339-4,keine_id,hintere Peckenstraße / vordere Peckenstraße,1426,,verkauf ,720,3 tl.,120,360,360 tl.,umb iiiᶜ und lx tl. Wienner pfenning  
KB-E 339-5,keine_id,Katerlucke / vor Kernertor,1426,,verkauf ,12,12 d.,120,6,6 tl.,umb vi tl. d.  
KB-E 340-1,DB1044,Weiße Brüder,1426,,verkauf ,66,66 d.,120,33,33 tl.,umb xxxiii tl. d.  
KB-E 340-2,keine_id,Ringmauer / Salzgries,1427,,schenkung ,50,50 d.,,,,
KB-E 340-3,keine_id,vor Stubentor,1427,,überschreibung ,120,0.5 tl.,,,,
KB-E 340-4,keine_id,Alter Kohlmarkt,1427,ja,überschreibung ,,,,,,
KB-E 340-5,keine_id,Stadtgraben / vor Widmertor,1427,,verkauf ,350,11 s. 20 d.,,,,
KB-E 341-1,keine_id,Salzgries,1427,ja,verkauf ,440,14 s. 20 d.,120,220,220 tl.,umb iiᶜ xx tl. d.  
KB-E 341-2,keine_id,innerhalb Kernertor,1427,,verkauf ,432,14 s. 12 d.,120,216,216 tl.,umb iiᶜ xvi tl. d.  
KB-E 341-3,keine_id,unter den Lederern / vor Werdertor,1427,,verkauf ,20,20 d.,120,10,10 tl.,umb x tl. d.  
KB-E 341-4,keine_id,Domprobsthof,1427,,verkauf ,400,13 s. 10 d.,120,200,200 tl.,umb zway hundert phund Wienner phenning  
KB-E 342-1,keine_id,Salzgries,1428,,verkauf ,200,6 s. 20 d.,120,100,100 tl.,umb hundert phund phenning  
KB-E 342-2,keine_id,Brandstätte,1429,,verkauf ,400,13 s. 10 d.,120,200,200 tl.,umb zwaihundert phund phenning  
KB-E 342-3,keine_id,Weihenburg,1429,ja,verkauf ,16,16 d.,120,8,8 tl. 6 s.,umb viii tl. vi s. d.  
KB-E 343-1,DB5203,Hohe Brücke / Wiltwerkerstraße,1429,,verkauf ,210,7 s.,120,105,105 tl.,umb hundert und v tl. d.  
KB-E 343-2,keine_id,Krugstraße,1429,ja,verkauf ,30,30 d.,120,15,15 tl.,umb xv tl. d.  
KB-E 343-3,keine_id,vor Stubentor / Wienfluss,1429,,,224,7 s. 14 d.,,,,
KB-E 343-4,DB6000,Scheffstraße / vor Stubentor,1429,,verkauf ,501,2 tl. 21 d.,119,250,250 tl.,umb ii½ᶜ tl. Wienner pfenning  
KB-E 343-5,keine_id,vor Kernertor / Weidenstraße,1429,,verkauf ,68,68 d.,120,34,34 tl.,umb xxxiiii tl.  
KB-E 344-1,DB5208,Wiltwerkerstraße,1430,,verkauf ,320,10 s. 20 d.,120,160,160 tl.,umb hundert und Sechczig phunt  
KB-E 344-2,keine_id,unter den Spenglern,1430,,verkauf ,264,1 tl. 24 d.,120,132,132 tl.,umb hundert und zwayunddreissig phunt phenning  
KB-E 344-3,keine_id,bei den Predigern,1430,,verkauf ,240,1 tl.,138,138,138 tl.,umb C xxxviii tl. d.  
KB-E 345-1,keine_id,Neuer Markt,1430,ja,verkauf ,170,5 s. 20 d.,127,90,90 tl.,umb lxxxx phunt phenning  
KB-E 345-2,keine_id,Schweinemarkt,1430,ja,verkauf ,147,0.5 tl. 27 d.,240,147,147 tl.,umb c xlvii tl. d.  
KB-E 345-3,DB6000,Scheffstraße,1430,,verkauf ,28,28 d.,120,14,14 tl.,umb xiiii tl. d.  
KB-E 346-1,keine_id,St. Johannsstraße,1431,,verkauf ,90,3 s.,146,55,55 tl.,umb lv tl. d. und vi s. d.  
